id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1116980051590543372,Home Away From Home | 15 min to EWR | Has it all,265925605,Ed,,East,40.73115,-74.13304,Entire home/apt,501,3,15,2024-12-30,1.72,4,270,15,
1116988851402360259,Exquisite 3 Bedrooms,286208529,Moses,,South,40.7273918,-74.2127264,Entire home/apt,173,2,38,2024-12-29,4.33,1,214,38,
1117561246494657965,Great location 3BR/2BA Newark 30 min to NYC,557336657,FloraStays,,East,40.73036,-74.15133,Entire home/apt,254,3,22,2024-12-09,2.40,6,88,22,
1118898436353732222,The Luxurious loft self checking,568126490,Rasaq,,West,40.74146,-74.20933,Entire home/apt,132,2,25,2024-12-16,2.74,1,265,25,
1118963499885598873,Secluded Urban 3bedroom Luxury,289189993,Johnson,,South,40.721,-74.21682,Entire home/apt,280,2,2,2024-04-21,0.23,7,269,2,
1119588781068576401,"Exclusive 2Kings,2Bath min EWR/N",92856476,Debbie,,Central,40.74763,-74.18942,Entire home/apt,235,2,0,,,24,251,0,
1119598067548627380,"New Listing! Mins from Manhattan, Entire House !",130430980,Samantha,,West,40.74576,-74.20725,Entire home/apt,176,3,2,2024-06-17,0.27,4,59,2,
1120578657428740899,"Chic 2BR unit, 10mins to Airport, near NYC & train",503371715,Sojourney,,East,40.7266004,-74.15879199999999,Entire home/apt,243,1,3,2024-09-22,0.34,7,175,3,
1121127288488809947,Dream!,281041246,Mary,,South,40.7125184247996,-74.20185964554548,Entire home/apt,709,1,24,2024-12-08,2.93,2,48,24,
1121330430043710258,Renovated Studio Ironbound/Newark 30 min to NYC,557336657,FloraStays,,East,40.72855,-74.15136,Entire home/apt,199,2,24,2024-12-16,2.68,6,41,24,
1121765202525183751,Newly renovated 3bdrm apt minutes from NYC/EWR,57184337,Andreia,,East,40.7229,-74.1568,Entire home/apt,113,2,21,2024-12-08,2.56,2,65,21,
1121831071388712861,Cheerful 3 Bedroom Home-EWR/NYC,569269495,Thomas,,South,40.71951,-74.19261,Entire home/apt,223,2,4,2024-08-05,0.49,3,26,4,
1121867643082918373,Peaceful 3 Bedroom Home- EWR/NYC,569269495,Thomas,,South,40.71659,-74.19375,Entire home/apt,286,2,6,2024-08-17,0.74,3,262,6,
1122023716209918936,Cozy 3 Bedroom Home -EWR/NYC,569269495,Thomas,,South,40.71792,-74.19473,Entire home/apt,217,2,0,,,3,165,0,
1122390657024769986,HWT Room D with shared Bath,569376949,Felix,,South,40.72003,-74.21368,Private room,92,1,4,2024-12-06,0.63,4,264,4,
1122529054923234616,#2Hudson 3-Bdrm and 1.5-Bathroom,492288277,My Run,,Central,40.74946,-74.1828,Entire home/apt,362,1,3,2024-11-18,0.34,9,270,3,
1122532366563784438,#1Hudson  3-Bdrm and 2-Bathroom,492288277,My Run,,Central,40.75009,-74.1838,Entire home/apt,377,1,0,,,9,270,0,
1122654808196902762,Cozy & Comfy 1 Bedroom Apartment,480902038,R.,,South,40.73166,-74.21241,Entire home/apt,143,2,0,,,13,264,0,
1122664748798475535,OoohLaLa!  2 Beds and 2 Full Baths w/Free Parking,569458264,Lateef,,South,40.71725804513027,-74.21938133068848,Entire home/apt,199,3,12,2024-11-30,1.50,1,362,12,
1122670613663032711,Petee's Place,314532964,Perose,,Central,40.72811145546064,-74.17992856353521,Entire home/apt,124,2,12,2024-12-06,1.38,13,363,12,
1123229886300579385,Just Breathe Cheery Room next to NYC train and EWR,52659070,LilyRentals,,Central,40.74974,-74.18574,Private room,27,14,0,,,93,132,0,
1123250270142459411,Beachy Keen Room near NYC Manhattan Train & EWR,52659070,LilyRentals,,Central,40.75043,-74.18391,Private room,36,7,2,2024-08-03,0.25,93,270,2,
1124922405384707772,LGS Pad,175811838,Lisa,,Central,40.73779,-74.20052,Entire home/apt,150,7,3,2024-06-29,0.35,1,83,3,
1125283146918050602,Rockefeller Center & Dream Mall w Garage Parking,118719483,Andrew,,Central,40.7548135,-74.17445830000001,Entire home/apt,131,1,37,2024-12-13,4.63,2,342,37,
1125313117562111983,Family & Traveler Haven - NYC & NWK w/free parking,543453164,Skyline Manor,,Central,40.73925,-74.189,Entire home/apt,94,2,47,2024-12-30,5.66,4,336,47,
1125389601074854960,Home Sweet Home - NWK & NYC w/free parking,543453164,Skyline Manor,,Central,40.73928,-74.18992,Entire home/apt,93,2,37,2024-12-30,4.22,4,357,37,
