id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
45448589,Brooklyn,Bushwick,40.69605,-73.9289,Entire home/apt,199.0
45466241,Manhattan,Upper East Side,40.76048,-73.96175,Entire home/apt,100.0
45472312,Manhattan,Upper East Side,40.78005,-73.95252,Entire home/apt,85.0
45482929,Manhattan,Upper East Side,40.76048,-73.96175,Entire home/apt,64.0
45253125,Brooklyn,Flatlands,40.62291,-73.92224,Entire home/apt,95.0
45270796,Manhattan,Upper East Side,40.7602,-73.96071,Entire home/apt,63.0
45275194,Manhattan,Upper East Side,40.7745,-73.9512,Entire home/apt,99.0
45380846,Manhattan,Upper East Side,40.76164,-73.96261,Entire home/apt,106.0
45396954,Manhattan,Upper East Side,40.77595,-73.95559,Entire home/apt,352.0
45409765,Manhattan,Upper East Side,40.77595,-73.95559,Entire home/apt,288.0
45412157,Brooklyn,Williamsburg,40.70891,-73.94603,Entire home/apt,112.0
45557629,Manhattan,Upper East Side,40.78063,-73.95273,Entire home/apt,155.0
45558214,Brooklyn,Flatlands,40.61673,-73.92747,Entire home/apt,125.0
45578986,Manhattan,Upper East Side,40.78225,-73.95408,Entire home/apt,95.0
45579937,Manhattan,Upper East Side,40.77292,-73.94906,Entire home/apt,236.0
45581273,Manhattan,Upper East Side,40.77293,-73.95007,Entire home/apt,175.0
45581450,Manhattan,Upper East Side,40.76172,-73.96228,Entire home/apt,200.0
45581457,Manhattan,Upper East Side,40.763016563348046,-73.96280802131685,Entire home/apt,175.0
45595551,Manhattan,Upper East Side,40.769524,-73.956451,Entire home/apt,94.0
45530652,Manhattan,Upper East Side,40.77271,-73.94872,Entire home/apt,220.0
45530663,Manhattan,Upper East Side,40.77503,-73.94938,Entire home/apt,225.0
45530812,Manhattan,Upper East Side,40.77502,-73.9503,Entire home/apt,236.0
45530831,Manhattan,Upper East Side,40.77286,-73.94937,Entire home/apt,299.0
45727008,Brooklyn,Bushwick,40.70186,-73.92251,Entire home/apt,230.0
45752068,Manhattan,Upper East Side,40.7731,-73.95306,Entire home/apt,123.0
45689225,Manhattan,Upper East Side,40.77096669709,-73.95748541665026,Entire home/apt,147.0
45689231,Manhattan,Upper East Side,40.77113,-73.95723,Entire home/apt,223.0
45689278,Manhattan,Upper East Side,40.76921,-73.95862,Entire home/apt,234.0
45689285,Manhattan,Upper East Side,40.76906,-73.95746,Entire home/apt,168.0
45689293,Manhattan,Upper East Side,40.77047,-73.95707,Entire home/apt,163.0
45922753,Brooklyn,Williamsburg,40.70758,-73.94346,Entire home/apt,210.0
45930596,Manhattan,East Harlem,40.79356,-73.94702,Entire home/apt,135.0
45908302,Manhattan,Upper East Side,40.76124,-73.96046,Entire home/apt,240.0
46158284,Bronx,Williamsbridge,40.87638,-73.86162,Entire home/apt,130.0
46019862,Manhattan,Upper East Side,40.76946,-73.95689,Entire home/apt,179.0
46062116,Manhattan,Upper East Side,40.77918,-73.95013,Entire home/apt,295.0
46088307,Brooklyn,Bushwick,40.68485,-73.91039,Entire home/apt,150.0
46335178,Manhattan,Upper East Side,40.78213,-73.95269,Entire home/apt,100.0
46336910,Manhattan,Upper East Side,40.78231,-73.95401,Entire home/apt,100.0
46352910,Manhattan,Upper East Side,40.7707911,-73.95750079999999,Entire home/apt,159.0
46542773,Manhattan,Upper East Side,40.7632,-73.96262,Entire home/apt,189.0
46544231,Manhattan,Upper East Side,40.7795,-73.95529,Entire home/apt,425.0
46546450,Brooklyn,Williamsburg,40.71753,-73.94387,Entire home/apt,250.0
46565079,Brooklyn,Williamsburg,40.7102,-73.96058,Entire home/apt,100.0
46393855,Brooklyn,Bushwick,40.69407,-73.92631,Entire home/apt,108.0
46414339,Brooklyn,Williamsburg,40.70935,-73.94628,Entire home/apt,192.0
46417510,Brooklyn,Bushwick,40.68963,-73.91494,Entire home/apt,150.0
46435388,Brooklyn,Bushwick,40.70382,-73.92464,Entire home/apt,71.0
46444812,Brooklyn,Williamsburg,40.71615,-73.96291,Entire home/apt,200.0
46449888,Brooklyn,Williamsburg,40.70858107096559,-73.96545563512909,Entire home/apt,142.0
46474689,Manhattan,Upper East Side,40.77348714969908,-73.95871669393223,Entire home/apt,149.0
46480702,Manhattan,Upper East Side,40.7732,-73.94543,Entire home/apt,60.0
46706175,Manhattan,Upper East Side,40.77327,-73.94802,Entire home/apt,130.0
46729395,Manhattan,Upper East Side,40.78191,-73.95386,Entire home/apt,106.0
46730982,Manhattan,Upper East Side,40.78057,-73.95205,Entire home/apt,85.0
46734542,Manhattan,Upper East Side,40.76298,-73.96627,Entire home/apt,286.0
46753919,Manhattan,Upper East Side,40.77445,-73.94769,Entire home/apt,149.0
46926058,Manhattan,Upper East Side,40.77392,-73.94977,Entire home/apt,129.0
46944839,Brooklyn,Williamsburg,40.71048,-73.96136,Entire home/apt,110.0
47001322,Brooklyn,Williamsburg,40.7186,-73.94593,Entire home/apt,165.0
47012155,Brooklyn,Bushwick,40.69985,-73.93358,Entire home/apt,220.0
47031259,Brooklyn,Bushwick,40.68725,-73.90572,Entire home/apt,225.0
47047419,Manhattan,Upper East Side,40.77713,-73.95536,Entire home/apt,2250.0
47052885,Manhattan,Upper East Side,40.76171,-73.96088,Entire home/apt,186.0
47076840,Manhattan,Upper East Side,40.76048,-73.96175,Entire home/apt,65.0
47097490,Manhattan,Upper East Side,40.75955,-73.95891,Entire home/apt,137.0
47373389,Manhattan,Upper East Side,40.75941,-73.95944,Entire home/apt,109.0
46797479,Manhattan,Upper East Side,40.769524,-73.956451,Entire home/apt,109.0
46797938,Manhattan,Upper East Side,40.77316,-73.94922,Entire home/apt,125.0
46833665,Manhattan,Upper East Side,40.76119,-73.96379,Entire home/apt,175.0
46848948,Manhattan,Upper East Side,40.77146,-73.95834,Entire home/apt,162.0
46854989,Manhattan,East Harlem,40.80028,-73.93647,Entire home/apt,104.0
46892479,Manhattan,Upper East Side,40.77164,-73.95682,Entire home/apt,238.0
47159537,Brooklyn,Williamsburg,40.7134,-73.96094,Entire home/apt,200.0
47373597,Manhattan,Upper East Side,40.75947,-73.96132,Entire home/apt,164.0
47410952,Manhattan,Upper East Side,40.77944,-73.95464,Entire home/apt,215.0
47421830,Brooklyn,Williamsburg,40.72064,-73.95591,Entire home/apt,200.0
47449728,Brooklyn,Williamsburg,40.71291,-73.9419,Entire home/apt,135.0
47451852,Queens,Queens Village,40.70495,-73.74747,Entire home/apt,135.0
47486539,Manhattan,Upper East Side,40.76944,-73.95693,Entire home/apt,129.0
47537276,Brooklyn,Bushwick,40.69429,-73.92215,Entire home/apt,148.0
47582768,Manhattan,Upper East Side,40.77198,-73.95659,Entire home/apt,130.0
47729102,Manhattan,Upper East Side,40.77077102661133,-73.95748138427734,Entire home/apt,276.0
47737131,Brooklyn,Bushwick,40.69832,-73.93297,Entire home/apt,120.0
47277456,Manhattan,Upper East Side,40.77383,-73.95334,Entire home/apt,119.0
47289921,Brooklyn,Williamsburg,40.71966,-73.96178,Entire home/apt,263.0
47331153,Queens,Astoria,40.76614,-73.93242,Entire home/apt,90.0
47770897,Manhattan,Upper East Side,40.76085,-73.96244,Entire home/apt,121.0
47964241,Manhattan,Upper East Side,40.77026,-73.95854,Entire home/apt,240.0
48042018,Manhattan,East Harlem,40.79616,-73.93416,Entire home/apt,250.0
48043063,Manhattan,Upper East Side,40.75949,-73.95936,Entire home/apt,151.0
48055938,Manhattan,Upper East Side,40.76991,-73.95705,Entire home/apt,168.0
48137872,Brooklyn,Williamsburg,40.70624,-73.95381,Entire home/apt,1000.0
48168657,Manhattan,Upper East Side,40.76735,-73.95933,Entire home/apt,121.0
48233657,Manhattan,Upper East Side,40.78119,-73.95532,Entire home/apt,200.0
48367351,Manhattan,Upper East Side,40.7717,-73.95816,Entire home/apt,127.0
48369592,Manhattan,Upper East Side,40.77723,-73.96053,Entire home/apt,10.0
48270362,Queens,Jamaica,40.6843,-73.77658,Entire home/apt,60.0
48297854,Brooklyn,Bushwick,40.69821,-73.93217,Entire home/apt,200.0
48300185,Manhattan,Upper East Side,40.7593,-73.9597,Entire home/apt,192.0
48489975,Manhattan,Upper East Side,40.7597,-73.96072,Entire home/apt,120.0
48740080,Brooklyn,Bushwick,40.68689,-73.90622,Entire home/apt,66.0
48742328,Brooklyn,Bushwick,40.69309948615662,-73.90876645369065,Entire home/apt,325.0
48767648,Manhattan,Upper East Side,40.78508,-73.95228,Entire home/apt,82.0
48804279,Brooklyn,Bushwick,40.69516,-73.90944,Entire home/apt,700.0
